# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=183.9055 deg DEC=28.1696 deg PA=25.0 INC=30.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 96.90 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=30.77 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC4211NED02.co.smo7_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.5,0.705,0.049,22,22,23.575,2.5809965,598.874,598.87396,8.042,1.3217e+08,101.371,5.6834e+08
4.5,2.114,0.146,75,75,10.591,4.2367296,917.244,1516.1183,4.371,3.3461e+08,45.543,1.4388e+09
7.5,3.523,0.244,122,122,1.856,2.022129,261.434,1777.5527,3.417,3.9231e+08,7.980,1.6869e+09
10.5,4.933,0.341,171,171,0.620,1.2916858,122.441,1899.9939,2.632,4.1933e+08,2.666,1.8031e+09
13.5,6.342,0.439,222,200,0.206,1.0316616,52.753,1952.7472,2.085,4.3097e+08,0.885,1.8532e+09
16.5,7.752,0.536,272,104,0.061,0.32447702,19.267,1972.0146,1.853,4.3523e+08,0.264,1.8715e+09
19.5,9.161,0.634,316,78,0.171,0.49960908,62.245,2034.2596,1.759,4.4896e+08,0.734,1.9305e+09
22.5,10.570,0.731,368,83,0.289,0.61970735,122.966,2157.2253,1.675,4.7610e+08,1.244,2.0472e+09
25.5,11.980,0.829,414,74,0.198,0.4735284,94.889,2252.1143,1.630,4.9705e+08,0.854,2.1373e+09
28.5,13.389,0.926,475,64,0.139,0.44905722,76.090,2328.204,1.578,5.1384e+08,0.597,2.2095e+09
31.5,14.798,1.024,508,55,0.130,0.46824074,76.339,2404.5432,1.590,5.3069e+08,0.560,2.2820e+09
34.5,16.208,1.121,562,50,nan,nan,0.000,2404.5432,1.583,5.3069e+08,nan,2.2820e+09
37.5,17.617,1.219,611,32,nan,nan,0.000,2404.5432,1.598,5.3069e+08,nan,2.2820e+09
40.5,19.026,1.316,660,5,nan,nan,0.000,2404.5432,1.627,5.3069e+08,nan,2.2820e+09
43.5,20.436,1.414,714,0,nan,nan,0.000,2404.5432,1.665,5.3069e+08,nan,2.2820e+09
46.5,21.845,1.511,756,0,nan,nan,0.000,2404.5432,1.729,5.3069e+08,nan,2.2820e+09
49.5,23.255,1.609,808,0,nan,nan,0.000,2404.5432,1.802,5.3069e+08,nan,2.2820e+09
52.5,24.664,1.706,855,0,nan,nan,0.000,2404.5432,1.893,5.3069e+08,nan,2.2820e+09
55.5,26.073,1.804,906,0,nan,nan,0.000,2404.5432,2.000,5.3069e+08,nan,2.2820e+09
58.5,27.483,1.901,953,0,nan,nan,0.000,2404.5432,2.268,5.3069e+08,nan,2.2820e+09
61.5,28.892,1.999,1014,0,nan,nan,0.000,2404.5432,2.863,5.3069e+08,nan,2.2820e+09
64.5,30.301,2.096,1052,0,nan,nan,0.000,2404.5432,3.763,5.3069e+08,nan,2.2820e+09
67.5,31.711,2.194,1097,0,nan,nan,0.000,2404.5432,12.482,5.3069e+08,nan,2.2820e+09
70.5,33.120,2.291,1147,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
73.5,34.529,2.389,1211,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
76.5,35.939,2.486,1250,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
79.5,37.348,2.584,1294,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
82.5,38.758,2.681,1254,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
85.5,40.167,2.779,1124,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
88.5,41.576,2.876,1086,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
91.5,42.986,2.974,873,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
94.5,44.395,3.071,727,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
97.5,45.804,3.169,599,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
100.5,47.214,3.266,506,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
103.5,48.623,3.364,414,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
106.5,50.033,3.461,345,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
109.5,51.442,3.559,266,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
112.5,52.851,3.656,198,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
115.5,54.261,3.754,133,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
118.5,55.670,3.851,98,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
121.5,57.079,3.949,71,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
124.5,58.489,4.046,39,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
127.5,59.898,4.144,12,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
130.5,61.307,4.241,0,0,nan,nan,0.000,2404.5432,nan,5.3069e+08,nan,2.2820e+09
