# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=183.9055 deg DEC=28.1696 deg PA=25.0 INC=30.0}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting distance of 96.90 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting R25=30.77 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced blanks with 0 times NGC4211NED02.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32, format: 10.4e}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32, format: 10.4e}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.470,0.032,10,10,52.359,5.643442,604.584,604.5839,14.660,1.3343e+08,225.142,5.7376e+08
3.0,1.409,0.097,32,32,25.606,9.764564,946.168,1550.7515,8.208,3.4225e+08,110.108,1.4717e+09
5.0,2.349,0.162,55,55,4.808,5.1718097,305.366,1856.1173,6.201,4.0965e+08,20.676,1.7615e+09
7.0,3.289,0.227,75,75,-0.156,3.309474,-13.521,1842.5966,5.048,4.0666e+08,-0.671,1.7487e+09
9.0,4.228,0.292,99,99,1.039,2.3172565,118.766,1961.3622,3.898,4.3288e+08,4.467,1.8614e+09
11.0,5.168,0.357,119,116,1.023,2.085479,140.623,2101.9856,3.259,4.6391e+08,4.401,1.9948e+09
13.0,6.107,0.422,143,55,0.041,1.3292848,6.740,2108.7253,2.989,4.6540e+08,0.176,2.0012e+09
15.0,7.047,0.487,163,4,nan,nan,0.000,2108.7253,2.832,4.6540e+08,nan,2.0012e+09
17.0,7.986,0.552,188,0,nan,nan,0.000,2108.7253,2.672,4.6540e+08,nan,2.0012e+09
19.0,8.926,0.617,208,0,nan,nan,0.000,2108.7253,2.580,4.6540e+08,nan,2.0012e+09
21.0,9.866,0.682,230,0,nan,nan,0.000,2108.7253,2.496,4.6540e+08,nan,2.0012e+09
23.0,10.805,0.747,246,0,nan,nan,0.000,2108.7253,2.460,4.6540e+08,nan,2.0012e+09
25.0,11.745,0.812,273,0,nan,nan,0.000,2108.7253,2.384,4.6540e+08,nan,2.0012e+09
27.0,12.684,0.877,297,0,nan,nan,0.000,2108.7253,2.340,4.6540e+08,nan,2.0012e+09
29.0,13.624,0.942,319,0,nan,nan,0.000,2108.7253,2.316,4.6540e+08,nan,2.0012e+09
31.0,14.563,1.007,329,0,nan,nan,0.000,2108.7253,2.342,4.6540e+08,nan,2.0012e+09
33.0,15.503,1.072,358,0,nan,nan,0.000,2108.7253,2.313,4.6540e+08,nan,2.0012e+09
35.0,16.443,1.137,383,0,nan,nan,0.000,2108.7253,2.309,4.6540e+08,nan,2.0012e+09
37.0,17.382,1.202,407,0,nan,nan,0.000,2108.7253,2.319,4.6540e+08,nan,2.0012e+09
39.0,18.322,1.267,413,0,nan,nan,0.000,2108.7253,2.386,4.6540e+08,nan,2.0012e+09
41.0,19.261,1.332,451,0,nan,nan,0.000,2108.7253,2.373,4.6540e+08,nan,2.0012e+09
43.0,20.201,1.397,462,0,nan,nan,0.000,2108.7253,2.444,4.6540e+08,nan,2.0012e+09
45.0,21.140,1.462,501,0,nan,nan,0.000,2108.7253,2.452,4.6540e+08,nan,2.0012e+09
47.0,22.080,1.527,507,0,nan,nan,0.000,2108.7253,2.552,4.6540e+08,nan,2.0012e+09
49.0,23.020,1.592,533,0,nan,nan,0.000,2108.7253,2.617,4.6540e+08,nan,2.0012e+09
51.0,23.959,1.657,549,0,nan,nan,0.000,2108.7253,2.823,4.6540e+08,nan,2.0012e+09
53.0,24.899,1.722,522,0,nan,nan,0.000,2108.7253,3.362,4.6540e+08,nan,2.0012e+09
55.0,25.838,1.787,481,0,nan,nan,0.000,2108.7253,3.957,4.6540e+08,nan,2.0012e+09
57.0,26.778,1.852,437,0,nan,nan,0.000,2108.7253,5.000,4.6540e+08,nan,2.0012e+09
59.0,27.718,1.917,341,0,nan,nan,0.000,2108.7253,12.331,4.6540e+08,nan,2.0012e+09
61.0,28.657,1.982,287,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
63.0,29.597,2.047,240,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
65.0,30.536,2.112,198,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
67.0,31.476,2.177,158,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
69.0,32.415,2.242,128,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
71.0,33.355,2.307,93,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
73.0,34.295,2.372,65,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
75.0,35.234,2.437,46,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
77.0,36.174,2.502,31,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
79.0,37.113,2.567,20,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
81.0,38.053,2.632,7,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
83.0,38.992,2.697,0,0,nan,nan,0.000,2108.7253,nan,4.6540e+08,nan,2.0012e+09
