# %ECSV 0.9
# ---
# datatype:
# - {name: radius, unit: arcsec, datatype: float64, description: Adopting RA=149.71529999999996
#     deg DEC=19.215 deg PA=94.5 INC=72.3}
# - {name: r_kpc, unit: kpc, datatype: float64, format: 10.3f, description: Adopting
#     distance of 123.201 Mpc}
# - {name: r_r25, unit: '', datatype: float64, format: 10.3f, description: Adopting
#     R25=46.679100000000005 arcsec}
# - {name: npix, datatype: int64}
# - {name: ngood, datatype: int64, description: Requiring fill fraction of 0.1 npix}
# - {name: wtmean, unit: K km / s, datatype: float64, format: 10.3f, description: Replaced
#     blanks with 1 times ../UGC05359.co.de20_smo.emom0max.fits}
# - {name: rms, unit: K km / s, datatype: float32}
# - {name: annsum, unit: K km pix / s, datatype: float32, format: 10.3f}
# - {name: cumsum, unit: K km pix / s, datatype: float32}
# - {name: detlim, unit: K km / s, datatype: float64, format: 10.3f}
# - {name: cumlum, unit: K km pc2 / s, datatype: float32}
# - {name: sigmol, unit: solMass / pc2, datatype: float64, format: 10.3f}
# - {name: cummass, unit: solMass, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
radius,r_kpc,r_r25,npix,ngood,wtmean,rms,annsum,cumsum,detlim,cumlum,sigmol,cummass
1.0,0.597,0.021,4,4,4.259,0.5608238,17.035,17.035269,16.546,6077531.0,5.568,26133384.0
3.0,1.792,0.064,13,13,4.413,0.703261,57.365,74.400764,9.272,26543342.0,5.769,114136376.0
5.0,2.986,0.107,13,13,5.613,2.1003575,72.966,147.36682,8.761,52574836.0,7.338,226071800.0
7.0,4.181,0.150,31,31,5.776,1.701844,179.041,326.40802,5.643,116449880.0,7.551,500734500.0
9.0,5.376,0.193,34,34,5.879,1.5902672,199.870,526.2782,5.259,187755900.0,7.685,807350400.0
11.0,6.570,0.236,40,40,4.913,1.6922518,196.522,722.80035,4.709,257867470.0,6.423,1108830200.0
13.0,7.765,0.278,54,51,4.370,1.7904416,236.007,958.8071,3.993,342065660.0,5.714,1470882400.0
15.0,8.959,0.321,50,48,3.917,1.5470014,195.853,1154.6602,3.993,411938500.0,5.121,1771335600.0
17.0,10.154,0.364,70,67,4.023,1.4133196,281.637,1436.2975,3.370,512415900.0,5.260,2203388400.0
19.0,11.349,0.407,74,68,3.451,1.2733198,255.390,1691.6875,3.291,603529300.0,4.512,2595176000.0
21.0,12.543,0.450,73,68,2.727,1.1773696,199.062,1890.7495,3.206,674547000.0,3.565,2900552200.0
